res_id,wrk_1,wrk_2,wrk_3,wrk_4,wrk_5,wrk_6,wrk_7,wrk_8,wrk_9,wrk_10,wrk_11,wrk_12,wrk_13,wrk_14,wrk_15,wrk_16,wrk_17,wrk_18,wrk_19,wrk_20,wrk_21,wrk_22,wrk_23,wrk_24,wrk_25,wrk_26,wrk_27,wrk_28,wrk_29,wrk_30,wrk_31,wrk_32,wrk_33,wrk_34,wrk_35,wrk_36,wrk_37,wrk_38,wrk_39,wrk_40,wrk_41,wrk_42,wrk_43,wrk_44,wrk_45,wrk_46,wrk_47,wrk_48,wrk_49,wrk_50,wrk_51,wrk_52,wrk_53,wrk_54,wrk_55,wrk_56,wrk_57,wrk_58,wrk_59,wrk_60,wrk_61,wrk_62,wrk_63,wrk_64,wrk_65,wrk_66,wrk_67,wrk_68,wrk_69,wrk_70,wrk_71,wrk_72,wrk_73,wrk_74,wrk_75,wrk_76,wrk_77
67,74,20,19,8,4,115,5,128,50,11,25,8,3,5,22,1,1,65,77,40,0,329,12,4,36,2,9,54,13,13,0,34,120,237,144,70,6,1090,892,299,298,7000,75,14,5,10,6,4235,186,2096,26,337,34,138,106,0,391,65,8,2,326,9,6,12,47,12,1348,3,9,2,9,19,16,2,214,600,23
68,4,43,42,53,45,36,62,16,11,72,27,13,29,27,60,40,8,80,11,24,8,16,8,38,7,9,28,117,42,63,20,7,19,185,26,9,11,45,62,12,23,2353,67,37,3,54,13,861,139,601,65,13,54,13,18,1,70,12,30,2,26,66,23,60,69,49,32,92,15,9,16,6,75,13,19,84,25
69,7,8,25,14,17,26,25,7,6,26,12,20,7,5,23,16,2,52,15,19,2,13,2,14,2,7,14,43,43,39,3,3,27,100,11,8,13,36,28,9,14,833,41,22,0,5,1,422,70,280,40,12,27,13,3,1,35,3,9,3,8,20,9,23,14,26,39,14,13,3,6,6,33,2,7,71,33
70,11,139,46,26,13,41,4,18,15,12,43,78,3,3,11,38,39,17,13,14,7,15,2,2,1,8,69,133,4,14,6,13,47,44,21,13,1,49,30,10,46,1131,157,34,2,6,8,483,65,443,109,26,35,15,10,1,52,10,8,1,15,5,10,10,112,9,10,3,5,129,4,16,138,2,12,122,4
71,7,77,60,49,57,55,58,13,15,49,43,61,30,19,66,79,19,127,10,35,7,23,6,46,8,15,94,128,83,76,5,5,41,128,34,15,16,84,70,14,30,1651,159,55,1,21,28,777,119,537,130,17,51,17,23,1,98,16,31,6,37,50,25,46,81,57,44,29,11,16,58,7,138,6,30,116,38
72,19,16,34,3,9,139,10,43,36,2,16,30,5,5,7,12,10,22,17,56,1,17,21,4,3,5,12,49,30,7,1,23,57,17,84,17,3,84,96,24,58,810,54,30,14,6,1,388,44,342,28,33,79,24,28,1,148,24,2,1,14,6,2,3,51,7,48,2,5,2,1,28,17,3,22,167,2
73,31,278,37,64,14,99,9,28,28,33,76,129,14,11,19,141,50,16,30,32,8,18,5,6,9,5,102,241,14,18,7,27,59,75,35,26,2,76,70,22,78,2003,226,56,7,25,17,790,97,707,220,30,94,14,36,1,97,19,21,3,21,8,25,6,200,13,32,4,8,63,8,11,459,7,25,217,6
74,6,32,17,53,22,47,74,12,11,61,21,19,37,30,74,35,6,89,10,20,8,8,6,39,3,13,26,95,28,56,20,6,28,126,17,9,10,67,33,16,27,1831,66,34,1,63,20,693,97,446,49,6,43,10,8,3,73,7,29,8,29,126,28,74,32,47,31,23,5,9,20,2,47,48,24,81,34
75,138,17,42,8,2,100,5,136,89,4,29,18,3,4,14,17,8,79,66,36,1,407,20,10,116,4,14,44,21,12,1,33,97,210,304,110,4,589,421,530,223,3996,140,21,20,8,5,2110,125,1269,38,182,52,329,331,0,393,109,13,0,734,19,9,3,72,21,641,6,12,7,7,12,23,1,1769,434,22
76,76,104,46,15,5,233,9,221,129,8,71,60,3,9,12,40,11,105,88,92,2,154,27,3,55,9,36,140,35,29,4,82,289,551,196,97,20,750,896,202,802,12249,273,58,23,8,11,6720,241,5231,139,334,189,104,200,3,512,103,13,3,168,6,6,11,129,7,256,4,22,18,4,42,29,0,150,3301,38
77,7,42,43,28,24,42,60,11,22,39,20,31,29,14,26,43,7,116,10,25,3,23,4,29,4,9,33,60,61,43,5,0,15,604,22,15,28,85,77,18,33,1624,51,22,5,24,13,792,125,532,51,18,41,19,12,4,94,16,26,4,45,35,16,35,42,57,51,29,19,14,21,5,31,8,24,112,172
